6332 0.0145781
0.760854 0.437259 0.407066
0.768797 0.442166 0.409937
0.788078 0.443404 0.404419
0.202968 0.454631 0.407699
0.217029 0.456908 0.407104
0.241595 0.46471 0.413795
0.251942 0.454677 0.404658
0.268201 0.466519 0.412757
0.287008 0.453851 0.401452
0.306272 0.466532 0.412306
0.322698 0.452975 0.411815
0.341 0.456985 0.409379
0.355974 0.466639 0.40725
0.370951 0.459872 0.411368
0.385008 0.465343 0.41267
0.599042 0.455199 0.412898
0.606137 0.46562 0.406276
0.62288 0.451026 0.414513
0.638674 0.45711 0.412019
0.662922 0.453822 0.408231
0.675858 0.463221 0.412964
0.686899 0.45574 0.407416
0.715326 0.450394 0.400621
0.720971 0.457091 0.41441
0.74367 0.450384 0.401721
0.76268 0.45937 0.416279
0.76855 0.463509 0.415698
0.786317 0.458411 0.402416
0.195479 0.467537 0.416507
0.212441 0.476612 0.411117
0.220055 0.475214 0.406502
0.244021 0.47554 0.403144
0.251652 0.469131 0.403051
0.270203 0.46673 0.408889
0.296671 0.476852 0.410867
0.309984 0.482036 0.410551
0.33164 0.475846 0.407639
0.333399 0.479863 0.413455
0.364746 0.482234 0.405084
0.382869 0.474157 0.40987
0.393998 0.468044 0.40118
0.410123 0.481997 0.401265
0.591369 0.479525 0.409309
0.611456 0.480236 0.406148
0.624715 0.470125 0.41373
0.644083 0.472682 0.416291
0.655464 0.481226 0.412503
0.6786 0.467931 0.4107
0.69559 0.477008 0.4089
0.707846 0.473546 0.411392
0.730235 0.480531 0.409665
0.734828 0.482628 0.412368
0.754376 0.473257 0.403188
0.780846 0.47042 0.401434
0.790029 0.477005 0.40398
0.805813 0.479666 0.407782
0.191843 0.492518 0.409965
0.208425 0.494228 0.412602
0.233241 0.483376 0.403334
0.237692 0.488118 0.410255
0.253294 0.499468 0.409099
0.271324 0.491302 0.412496
0.290928 0.4951 0.414435
0.311514 0.497946 0.410847
0.32231 0.488372 0.402436
0.338486 0.490297 0.407778
0.351684 0.499792 0.411411
0.370777 0.495452 0.409003
0.392572 0.494284 0.414845
0.412222 0.486553 0.408688
0.57988 0.49964 0.40901
0.58517 0.497655 0.40868
0.602686 0.488492 0.403645
0.624514 0.494589 0.403039
0.641939 0.496061 0.41199
0.660217 0.49042 0.411877
0.679846 0.489149 0.403967
0.694623 0.493598 0.409497
0.70187 0.492967 0.414951
0.731488 0.490841 0.412156
0.735457 0.494354 0.411936
0.751764 0.486536 0.404289
0.778789 0.495865 0.413808
0.790868 0.493515 0.414681
0.800825 0.490638 0.400928
0.178876 0.507799 0.416491
0.19216 0.514383 0.40681
0.207377 0.512153 0.406367
0.228321 0.506167 0.411679
0.237059 0.506137 0.408197
0.251049 0.511204 0.400112
