9065 0.0145781
0.669141 0.608393 0.250549
0.692474 0.607125 0.2661
0.408176 0.616169 0.252488
0.429886 0.631645 0.251792
0.438133 0.631652 0.25493
0.459165 0.620191 0.259939
0.474304 0.622855 0.251727
0.490025 0.619286 0.26008
0.507172 0.61746 0.254801
0.532027 0.618529 0.255654
0.544811 0.629262 0.263901
0.557773 0.622315 0.256046
0.579239 0.62594 0.256063
0.58925 0.620407 0.254535
0.603072 0.621801 0.261666
0.624513 0.618481 0.259914
0.649651 0.627965 0.252592
0.656721 0.619141 0.264768
0.682367 0.627968 0.252856
0.690901 0.62929 0.260521
0.43034 0.640768 0.253882
0.443262 0.647866 0.253778
0.46321 0.635199 0.257879
0.476479 0.647019 0.260954
0.492051 0.646888 0.262299
0.502548 0.634087 0.255643
0.529391 0.64258 0.253195
0.53685 0.633263 0.259923
0.563884 0.648519 0.263544
0.567014 0.634629 0.25658
0.594669 0.642403 0.25072
0.607807 0.643411 0.254108
0.626699 0.641784 0.265704
0.633756 0.640892 0.262348
0.655776 0.645201 0.260362
0.668312 0.634101 0.261482
0.439936 0.654685 0.253961
0.456133 0.651583 0.258543
0.474101 0.660611 0.263001
0.484937 0.658826 0.258562
0.501533 0.663863 0.265893
0.532503 0.659496 0.256558
0.543694 0.651439 0.258856
0.554298 0.657446 0.254452
0.581179 0.651729 0.253072
0.589099 0.649906 0.25688
0.60765 0.652343 0.250024
0.621405 0.659817 0.255627
0.635775 0.654899 0.251231
0.6584 0.651048 0.263166
0.44741 0.668048 0.25725
0.462443 0.67235 0.266411
0.47794 0.679741 0.266496
0.48629 0.666407 0.252592
0.505724 0.67459 0.250467
0.529631 0.681294 0.251843
0.542197 0.678665 0.257717
0.550203 0.673749 0.255575
0.574087 0.672332 0.252528
0.584629 0.679711 0.258698
0.607089 0.679021 0.262386
0.623903 0.66952 0.250812
0.633991 0.671747 0.252798
0.471666 0.692398 0.260573
0.497809 0.68519 0.258954
0.51057 0.695906 0.253
0.529776 0.685936 0.265981
0.537719 0.685006 0.257549
0.55318 0.691189 0.26632
0.569836 0.687188 0.25774
0.585646 0.685297 0.250393
0.60565 0.689877 0.261612
0.499919 0.702705 0.259974
0.506808 0.70733 0.26661
0.560142 0.701122 0.258836
0.57383 0.709144 0.265217
0.613962 0.70051 0.261043
0.546979 0.71584 0.264413
0.516204 0.381291 0.28164
0.536989 0.370251 0.282275
0.566238 0.375624 0.274304
0.574538 0.374009 0.277904
0.480693 0.396763 0.27612
0.496295 0.391703 0.281802
0.51135 0.393936 0.267779
0.524132 0.385889 0.27269
0.545111 0.389405 0.27603
0.563778 0.38756 0.26956
0.574453 0.390806 0.270557
0.591511 0.396398 0.266899
0.612927 0.398038 0.281159
0.434432 0.415072 0.280278
0.483072 0.401266 0.275025
0.489491 0.410895 0.274852
0.503737 0.400424 0.274837
0.518511 0.412589 0.274187
0.546684 0.40449 0.268168
0.552574 0.412103 0.277171
0.569814 0.401224 0.275819
0.584711 0.413492 0.276586
0.600657 0.399468 0.270444
0.625579 0.404444 0.274804
0.644769 0.407702 0.271763
0.4331 0.430261 0.267758
0.440535 0.43094 0.273064
0.464068 0.430524 0.271651
0.481411 0.419439 0.282696
0.485622 0.418858 0.277153
0.510782 0.422964 0.27152
0.529194 0.428771 0.272323
0.537471 0.423656 0.267261
0.562437 0.416527 0.281062
0.575033 0.425193 0.280364
0.590293 0.427943 0.275194
0.611716 0.417593 0.277822
0.620307 0.420616 0.279411
0.647188 0.419053 0.267873
0.656066 0.431903 0.281201
0.670945 0.431715 0.279548
0.42878 0.436841 0.267905
0.436528 0.439013 0.275363
0.462795 0.439696 0.272889
0.479441 0.442114 0.278003
0.499469 0.447883 0.274577
0.503114 0.432564 0.27137
0.519162 0.444982 0.272585
0.540843 0.443007 0.271459
0.550381 0.440431 0.280336
0.574485 0.433638 0.270798
0.59079 0.444569 0.267128
0.610283 0.442746 0.276672
0.619148 0.435969 0.278479
0.634605 0.447185 0.275291
0.653653 0.443232 0.273343
0.682802 0.440276 0.271193
0.401766 0.464404 0.275044
0.421272 0.450643 0.266837
0.444024 0.451603 0.267287
0.450444 0.459266 0.281265
0.47696 0.455313 0.282452
0.48739 0.465451 0.269855
0.50618 0.452644 0.267673
0.530358 0.461949 0.280926
0.537736 0.455175 0.270796
0.566461 0.462676 0.281514
0.569896 0.460401 0.274368
0.587454 0.452069 0.278077
0.606916 0.451733 0.267831
0.625934 0.464825 0.27052
0.638478 0.455782 0.272108
0.656048 0.453635 0.283112
0.67208 0.452229 0.26872
0.696148 0.459278 0.275419
